NAME,B01003_001E,B17001_001E,B17001_002E,state,county
"Clay County, North Carolina",10813,10785,1700,37,043
"Cumberland County, North Carolina",332106,316425,57620,37,051
"Gaston County, North Carolina",216585,213482,33324,37,071
"Guilford County, North Carolina",523582,506440,80771,37,081
"Jackson County, North Carolina",42256,38442,7439,37,099
"Moore County, North Carolina",95629,94456,11863,37,125
"Robeson County, North Carolina",133442,129821,36504,37,155
"Stanly County, North Carolina",61114,59171,8474,37,167
"Wake County, North Carolina",1046558,1024221,99877,37,183
"Yancey County, North Carolina",17667,17509,3361,37,199
"Chatham County, North Carolina",69791,68973,8241,37,037
"McDowell County, North Carolina",45109,44037,7543,37,111
"Johnston County, North Carolina",191172,189205,25213,37,101
"Jones County, North Carolina",9695,9655,2526,37,103
"Person County, North Carolina",39305,38722,6836,37,145
"Brunswick County, North Carolina",126860,125787,16201,37,019
"Ashe County, North Carolina",26786,26451,4748,37,009
"Beaufort County, North Carolina",47243,46721,8966,37,013
"Lenoir County, North Carolina",57227,55958,12844,37,107
"Rutherford County, North Carolina",66532,65306,11731,37,161
"Lincoln County, North Carolina",81441,80601,11593,37,109
"Onslow County, North Carolina",193912,173402,23880,37,133
"Orange County, North Carolina",142938,131789,17633,37,135
"Sampson County, North Carolina",63561,62674,15084,37,163
"Yadkin County, North Carolina",37665,37310,5692,37,197
"Avery County, North Carolina",17501,14231,2056,37,011
"Burke County, North Carolina",89712,87000,15720,37,023
"Caswell County, North Carolina",22746,21830,4273,37,033
"Davie County, North Carolina",41991,41671,5710,37,059
"Duplin County, North Carolina",59062,58382,14056,37,061
"Durham County, North Carolina",306457,292926,46805,37,063
"Lee County, North Carolina",60125,59157,9538,37,105
"New Hanover County, North Carolina",224231,217333,37602,37,129
"Wayne County, North Carolina",124002,120644,25847,37,191
"Scotland County, North Carolina",35262,32625,9030,37,165
"Halifax County, North Carolina",51737,50311,12684,37,083
"Alamance County, North Carolina",160576,156158,26264,37,001
"Burke County, North Dakota",2213,2200,145,38,013
"Mountrail County, North Dakota",10152,10088,1016,38,061
"Williams County, North Dakota",34061,33259,2283,38,105
"Billings County, North Dakota",946,946,81,38,007
"Kidder County, North Dakota",2460,2460,246,38,043
"Cavalier County, North Dakota",3824,3724,373,38,019
"Grant County, North Dakota",2380,2323,274,38,037
"Pembina County, North Dakota",7016,6822,475,38,067
"Steele County, North Dakota",1910,1906,114,38,091
"Hettinger County, North Dakota",2576,2408,228,38,041
"LaMoure County, North Dakota",4100,4005,466,38,045
"Morton County, North Dakota",30544,29895,2426,38,059
"Cass County, North Dakota",174202,169432,18179,38,017
"Dunn County, North Dakota",4387,4286,381,38,025
"Emmons County, North Dakota",3352,3298,337,38,029
"McIntosh County, North Dakota",2654,2542,206,38,051
"Nelson County, North Dakota",2920,2841,299,38,063
"Richland County, North Dakota",16288,15122,1423,38,077
"Rolette County, North Dakota",14603,14362,4204,38,079
"Walsh County, North Dakota",10802,10549,1012,38,099
"Adams County, North Dakota",2351,2291,191,38,001
"Bottineau County, North Dakota",6589,6256,634,38,009
"Barnes County, North Dakota",10836,10288,1080,38,003
"Eddy County, North Dakota",2313,2235,306,38,027
"Grand Forks County, North Dakota",70400,65981,11369,38,035
"McKenzie County, North Dakota",12536,12431,1681,38,053
"Mercer County, North Dakota",8570,8325,589,38,057
"McLean County, North Dakota",9608,9440,772,38,055
"Pierce County, North Dakota",4210,4044,692,38,069
"Ransom County, North Dakota",5361,5197,304,38,073
"Sioux County, North Dakota",4413,4352,1588,38,085
"Bowman County, North Dakota",3195,3121,242,38,011
"Golden Valley County, North Dakota",1882,1825,119,38,033
"Logan County, North Dakota",1927,1850,139,38,047
"Towner County, North Dakota",2246,2215,271,38,095
"Stutsman County, North Dakota",21064,19461,2301,38,093
"Divide County, North Dakota",2369,2278,311,38,023
"Foster County, North Dakota",3290,3204,231,38,031
"Sargent County, North Dakota",3883,3811,146,38,081
"Slope County, North Dakota",704,704,39,38,087
"Stark County, North Dakota",30876,30166,2659,38,089
"Gallia County, Ohio",30195,29356,6608,39,053
"Huron County, Ohio",58457,57733,7845,39,077
"Athens County, Ohio",65936,56175,17212,39,009
"Adams County, Ohio",27878,27523,6230,39,001
"Medina County, Ohio",177257,175650,11303,39,103
"Union County, Ohio",55654,52158,3610,39,159
"Champaign County, Ohio",38864,37883,4180,39,021
"Paulding County, Ohio",18872,18683,1919,39,125
"Greene County, Ohio",165811,156553,19065,39,057
"Franklin County, Ohio",1275333,1245433,203044,39,049
"Marion County, Ohio",65344,59521,9504,39,101
"Morgan County, Ohio",14702,14465,2765,39,115
"Wayne County, Ohio",116208,112072,13885,39,169
"Wyandot County, Ohio",22107,21750,2068,39,175
"Butler County, Ohio",378294,365627,47601,39,017
"Harrison County, Ohio",15307,14977,2545,39,067
"Knox County, Ohio",61215,57764,8222,39,083
"Richland County, Ohio",121324,113502,16190,39,139
"Vinton County, Ohio",13111,12987,2719,39,163
"Hancock County, Ohio",75690,73543,8545,39,063
"Fairfield County, Ohio",152910,149796,14142,39,045
"Defiance County, Ohio",38279,37505,4032,39,039
"Henry County, Ohio",27316,26790,2593,39,069
"Jefferson County, Ohio",66886,64473,11647,39,081
"Putnam County, Ohio",33969,33604,2265,39,137
"Clinton County, Ohio",41896,40503,5277,39,027
"Fayette County, Ohio",28645,28034,4764,39,047
"Pickaway County, Ohio",57420,52554,6174,39,129
"Logan County, Ohio",45307,44738,5984,39,091
"Summit County, Ohio",541810,532648,69576,39,153
"Sandusky County, Ohio",59299,58050,7872,39,143
"Shelby County, Ohio",48797,48148,4384,39,149
"Cottonwood County, Minnesota",11372,11112,1386,27,033
"Scott County, Minnesota",143372,141479,8218,27,139
"Dodge County, Minnesota",20582,20425,1127,27,039
"Wabasha County, Minnesota",21500,21286,1267,27,157
"Pipestone County, Minnesota",9185,9004,1020,27,117
"Crow Wing County, Minnesota",63855,62926,6622,27,035
"Norman County, Minnesota",6559,6393,661,27,107
"Wright County, Minnesota",132745,131282,5850,27,171
"Nicollet County, Minnesota",33783,31430,3003,27,103
"Douglas County, Minnesota",37203,36685,3041,27,041
"Grant County, Minnesota",5938,5867,610,27,051
"Kittson County, Minnesota",4337,4186,443,27,069
"Le Sueur County, Minnesota",27983,27718,2431,27,079
"Mahnomen County, Minnesota",5506,5375,1122,27,087
"Chisago County, Minnesota",54727,53177,2979,27,025
"Redwood County, Minnesota",15331,14969,1709,27,127
"Yellow Medicine County, Minnesota",9868,9653,1297,27,173
"Todd County, Minnesota",24440,24108,3214,27,153
"Beltrami County, Minnesota",46117,43642,8054,27,007
"Blue Earth County, Minnesota",66322,62924,11382,27,013
"Houston County, Minnesota",18663,18380,1404,27,055
"Lac qui Parle County, Minnesota",6773,6643,566,27,073
"Lake of the Woods County, Minnesota",3809,3754,347,27,077
"Otter Tail County, Minnesota",57992,56976,5250,27,111
"Waseca County, Minnesota",18809,17670,1627,27,161
"St. Louis County, Minnesota",200080,192176,28922,27,137
"Anoka County, Minnesota",347431,344170,20963,27,003
"Stearns County, Minnesota",156819,149649,19532,27,145
"Lincoln County, Minnesota",5707,5528,573,27,081
"Marshall County, Minnesota",9392,9302,702,27,089
"Mille Lacs County, Minnesota",25728,25147,3042,27,095
"Washington County, Minnesota",253317,249469,11666,27,163
"Carlton County, Minnesota",35540,34179,4118,27,017
"Kanabec County, Minnesota",16004,15744,1690,27,065
"Koochiching County, Minnesota",12644,12377,2029,27,071
"Red Lake County, Minnesota",4008,3974,389,27,125
"Morrison County, Minnesota",32949,32529,3561,27,097
"Rice County, Minnesota",65765,57628,6169,27,131
"Steele County, Minnesota",36676,36162,3646,27,147
"Aitkin County, Minnesota",15834,15596,2021,27,001
"Faribault County, Minnesota",13896,13499,1569,27,043
"Murray County, Minnesota",8353,8213,607,27,101
"Kandiyohi County, Minnesota",42658,41865,4413,27,067
"Lake County, Minnesota",10569,10329,881,27,075
"Rock County, Minnesota",9413,9177,894,27,133
"Sibley County, Minnesota",14912,14765,1051,27,143
"Traverse County, Minnesota",3337,3250,356,27,155
"Becker County, Minnesota",33773,33208,4090,27,005
