NAME,B01003_001E,B17001_001E,B17001_002E,state,county
"Floyd County, Georgia",96204,92020,19215,13,115
"Forsyth County, Georgia",177103,176334,11804,13,117
"Franklin County, Georgia",22070,21386,4541,13,119
"Fulton County, Georgia",929535,899689,151055,13,121
"Gilmer County, Georgia",28232,27819,5671,13,123
"Glascock County, Georgia",3082,2997,710,13,125
"Glynn County, Georgia",79628,78235,13842,13,127
"Gordon County, Georgia",55192,54368,10838,13,129
"Grady County, Georgia",25068,24777,7109,13,131
"Greene County, Georgia",15988,15801,3553,13,133
"Gwinnett County, Georgia",810624,804399,109870,13,135
"Habersham County, Georgia",43038,40256,7287,13,137
"Hall County, Georgia",180831,176582,29747,13,139
"Hancock County, Georgia",9422,7761,2435,13,141
"Haralson County, Georgia",28627,28154,6526,13,143
"Harris County, Georgia",31870,31494,2639,13,145
"Hart County, Georgia",25277,24485,5743,13,147
"Heard County, Georgia",11756,11617,2927,13,149
"Henry County, Georgia",203185,201605,20765,13,151
"Houston County, Georgia",140699,138692,20184,13,153
"Irwin County, Georgia",9646,8965,1868,13,155
"Jackson County, Georgia",60268,59636,9331,13,157
"Jasper County, Georgia",13786,13668,2758,13,159
"Jeff Davis County, Georgia",14972,14842,3822,13,161
"Jefferson County, Georgia",16817,16247,4917,13,163
"Jenkins County, Georgia",8477,8358,2466,13,165
"Johnson County, Georgia",9981,8588,1777,13,167
"Jones County, Georgia",28638,28336,4021,13,169
"Lamar County, Georgia",18151,17077,3381,13,171
"Lanier County, Georgia",10066,9686,2120,13,173
"Laurens County, Georgia",48264,47056,11089,13,175
"Lee County, Georgia",28449,27074,3067,13,177
"Liberty County, Georgia",64663,62396,10953,13,179
"Lincoln County, Georgia",7962,7879,2040,13,181
"Long County, Georgia",14488,14171,2951,13,183
"Lowndes County, Georgia",109730,105115,24613,13,185
"Lumpkin County, Georgia",30040,28382,4778,13,187
"McDuffie County, Georgia",21762,21384,4375,13,189
"McIntosh County, Georgia",14119,13890,2073,13,191
"Macon County, Georgia",14552,13064,3563,13,193
"Madison County, Georgia",27988,27781,5285,13,195
"Marion County, Georgia",8615,8534,2229,13,197
"Meriwether County, Georgia",21966,21450,3714,13,199
"Miller County, Georgia",6094,5925,1281,13,201
"Mitchell County, Georgia",23510,21420,5528,13,205
"Monroe County, Georgia",26376,25122,3601,13,207
"Montgomery County, Georgia",9054,8236,1999,13,209
"Morgan County, Georgia",17919,17701,2666,13,211
"Murray County, Georgia",39635,39185,7776,13,213
"Muscogee County, Georgia",191278,178783,33547,13,215
"Newton County, Georgia",100047,98378,14405,13,217
"Oconee County, Georgia",32814,32640,2774,13,219
"Oglethorpe County, Georgia",14745,14612,2256,13,221
"Paulding County, Georgia",141846,140912,14490,13,223
"Peach County, Georgia",27531,25116,6670,13,225
"Pickens County, Georgia",29445,29062,3429,13,227
"Pierce County, Georgia",18631,18364,3820,13,229
"Pike County, Georgia",17765,17376,1916,13,231
"Polk County, Georgia",41350,40573,8804,13,233
"Pulaski County, Georgia",11801,10258,1936,13,235
"Putnam County, Georgia",21184,20958,3184,13,237
"Quitman County, Georgia",2542,2542,618,13,239
"Rabun County, Georgia",16297,16139,3806,13,241
"Randolph County, Georgia",7596,7157,1813,13,243
